(setSamplingFrequency,setSamplingFrequency)
(getSamplingFrequency,getSamplingFrequency)
(getMelFrequencySpectrum,getMelFrequencySpectrum)
(complexSpectralDifference,complexSpectralDifference)
(highFrequencyContent,highFrequencyContent)
(Gist,GistNative)
(setAudioFrameSize,setAudioFrameSize)
(spectralRolloff,spectralRolloff)
(spectralDifferenceHWR,spectralDifferenceHWR)
(energyDifference,energyDifference)
(getAudioFrameSize,getAudioFrameSize)
(peakEnergy,peakEnergy)
(pitch,pitch)
(spectralDifference,spectralDifference)
(rootMeanSquare,rootMeanSquare)
(getMelFrequencyCepstralCoefficients,getMelFrequencyCepstralCoefficients)
(zeroCrossingRate,zeroCrossingRate)
(spectralCentroid,spectralCentroid)
(spectralKurtosis,spectralKurtosis)
(getMagnitudeSpectrum,getMagnitudeSpectrum)
(processAudioFrame,processAudioFrame)
(spectralFlatness,spectralFlatness)
(spectralCrest,spectralCrest)
