(glCreateProgram,GlCreateProgram)
(glAttachShader,GlAttachShader)
(glLinkProgram,GlLinkProgram)
(glGetProgramiv,GlGetProgramiv)
(glGetProgramInfoLog,GlGetProgramInfoLog)
(glGetAttribLocation,GlGetAttribLocation)
(glGetUniformLocation,GlGetUniformLocation)
(glUseProgram,GlUseProgram)
(glGenBuffers,GlGenBuffers)
(glBindBuffer,GlBindBuffer)
(glBufferData,GlBufferData)
(glUniform1f,GlUniform1f)
(glUniform2f,GlUniform2f)
(glUniform3f,GlUniform3f)
(glUniform4f,GlUniform4f)
(glUniform1i,GlUniform1i)
(glUniform2i,GlUniform2i)
(glUniform3i,GlUniform3i)
(glUniform4i,GlUniform4i)
(glUniform1ui,GlUniform1ui)
(glUniform2ui,GlUniform2ui)
(glUniform3ui,GlUniform3ui)
(glUniform4ui,GlUniform4ui)
(glCreateShader,GlCreateShader)
(glShaderSource,GlShaderSource)
(glCompileShader,GlCompileShader)
(glGetShaderiv,GlGetShaderiv)
(glGetShaderInfoLog,GlGetShaderInfoLog)
(glDeleteShader,GlDeleteShader)
(glViewport,GlViewport)
(glClearColor,GlClearColor)
(glClear,GlClear)
(glGenVertexArrays,GlGenVertexArrays)
(glBindVertexArray,GlBindVertexArray)
(glVertexAttribPointer,GlVertexAttribPointer)
(glEnableVertexAttribArray,GlEnableVertexAttribArray)
(glEnable,GlEnable)
(glFrontFace,GlFrontFace)
(glDrawElements,GlDrawElements)
(glfwInit,GlfwInit)
(glfwWindowHint,GlfwWindowHint)
(glfwCreateWindow,GlfwCreateWindow)
(glfwSetKeyCallback,GlfwSetKeyCallback)
(glfwSetWindowShouldClose,GlfwSetWindowShouldClose)
(glfwMakeContextCurrent,GlfwMakeContextCurrent)
(glfwGetFramebufferSize,GlfwGetFramebufferSize)
(glfwWindowShouldClose,GlfwWindowShouldClose)
(glfwDestroyWindow,GlfwDestroyWindow)
(glfwTerminate,GlfwTerminate)
(glfwSwapInterval,GlfwSwapInterval)
(glfwPollEvents,GlfwPollEvents)
(glfwSwapBuffers,GlfwSwapBuffers)
(glfwSetWindowTitle,GlfwSetWindowTitle)
(gladLoadGLLoader,GladLoadGLLoader)
